Signal Date,Trade Date,Signal Close,MA200,Entry Open,Exit Close,Trade Return
2021-05-12,2021-05-13,377.67,341.47,379.22,382.21,0.0079
2021-09-28,2021-09-29,406.67,383.74,408.04,407.35,-0.0017
2021-11-26,2021-11-29,430.34,399.64,435.12,435.62,0.0011
2022-02-03,2022-02-04,420.21,414.84,419.98,422.19,0.0053
2023-02-21,2023-02-22,381.6,373.73,382.01,381.08,-0.0025
2024-07-24,2024-07-25,528.71,481.64,528.83,525.96,-0.0054
2024-08-05,2024-08-06,505.42,485.94,507.21,510.07,0.0056
2024-09-03,2024-09-04,539.31,498.21,537.48,538.21,0.0014
2024-12-18,2024-12-19,574.48,537.69,579.46,574.3,-0.0089
2025-10-10,2025-10-13,647.65,595.23,655.22,657.59,0.0036
2026-01-20,2026-01-21,674.0,627.97,676.06,681.78,0.0085
2026-06-05,2026-06-08,735.65,679.81,741.45,737.32,-0.0056
